time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
4.9,0.5047,0.41861,0.47743,0.40622,0.37127,0.35868,0.35311,0.31811,0.28144,0.30422,0.32513,0.25949,0.32933,0.29798,0.38529,0.38,0.36911,0.4165
5.0,0.49293,0.43245,0.46812,0.42064,0.37869,0.37054,0.32253,0.32112,0.28669,0.30659,0.3154,0.26812,0.32952,0.28751,0.38113,0.3871,0.38863,0.40916
5.1,0.5068,0.4514,0.45434,0.41103,0.37454,0.38253,0.33904,0.32464,0.27509,0.30062,0.31424,0.27424,0.30567,0.31275,0.38096,0.39543,0.38945,0.40181
5.2,0.51887,0.45734,0.4289,0.39702,0.37743,0.38296,0.34344,0.34417,0.28311,0.30643,0.32021,0.27084,0.31485,0.28607,0.38555,0.37021,0.4126,0.42931
5.3,0.53243,0.47413,0.46283,0.41021,0.40005,0.37521,0.34415,0.32994,0.27095,0.3194,0.32043,0.27258,0.32778,0.33343,0.37187,0.37511,0.38058,0.40076
5.4,0.55926,0.45753,0.46863,0.4107,0.39473,0.4107,0.34036,0.3471,0.29257,0.32245,0.31267,0.27609,0.3394,0.29392,0.38678,0.3819,0.38149,0.4172
5.5,0.57686,0.48296,0.47403,0.39455,0.38696,0.39918,0.3398,0.3442,0.28283,0.31315,0.32437,0.29793,0.32827,0.32791,0.38428,0.41075,0.37711,0.41273
5.6,0.58027,0.47779,0.44818,0.42508,0.3626,0.41328,0.34693,0.32859,0.28595,0.32912,0.30188,0.27992,0.33976,0.29112,0.37503,0.40079,0.37172,0.4177
5.7,0.60905,0.46289,0.46699,0.40934,0.35975,0.39567,0.3398,0.33778,0.28496,0.34427,0.29176,0.29637,0.35093,0.31223,0.37567,0.38079,0.39285,0.39695
5.8,0.57845,0.48722,0.4611,0.41479,0.35051,0.3709,0.33284,0.34639,0.28837,0.32579,0.28684,0.29768,0.32842,0.28976,0.40667,0.38552,0.38454,0.39374
5.9,0.58492,0.46862,0.45814,0.41118,0.36465,0.38915,0.35291,0.3436,0.27619,0.33675,0.29708,0.29536,0.32151,0.289,0.39949,0.37646,0.38424,0.41721
6.0,0.58383,0.45014,0.48723,0.43714,0.36214,0.37471,0.3468,0.35263,0.29196,0.33349,0.297,0.27964,0.32712,0.27821,0.40464,0.39468,0.40435,0.40299
6.1,0.59923,0.46258,0.47178,0.42978,0.35007,0.38177,0.34765,0.34795,0.30901,0.328,0.29729,0.28222,0.34552,0.26096,0.40748,0.39798,0.40657,0.4019
6.2,0.58336,0.4999,0.46406,0.42419,0.33828,0.4331,0.35348,0.32789,0.28592,0.32146,0.30443,0.29905,0.31485,0.26584,0.40346,0.42008,0.40175,0.40685
6.3,0.57739,0.5007,0.50621,0.41809,0.33034,0.4203,0.35574,0.32747,0.30816,0.33288,0.30491,0.28937,0.31052,0.27325,0.3816,0.40574,0.41547,0.41777
6.4,0.59169,0.47219,0.51952,0.41712,0.33091,0.39131,0.35869,0.34303,0.30964,0.34731,0.30509,0.29891,0.30217,0.27258,0.4112,0.4204,0.42125,0.42414
6.5,0.56615,0.46456,0.49612,0.37,0.34467,0.41527,0.36898,0.33759,0.30368,0.34043,0.30879,0.30811,0.33205,0.28075,0.40545,0.42301,0.42114,0.42896
6.6,0.5636,0.51199,0.47069,0.39876,0.36454,0.42421,0.34984,0.32781,0.31908,0.32173,0.3256,0.31065,0.33676,0.29002,0.41219,0.39007,0.40317,0.43766
6.7,0.54999,0.4783,0.47279,0.40398,0.38111,0.41535,0.34018,0.34427,0.30691,0.32396,0.32441,0.2978,0.33091,0.28233,0.4088,0.40069,0.41597,0.44713
6.8,0.54644,0.46877,0.45456,0.42808,0.35642,0.39722,0.33611,0.35334,0.31049,0.30302,0.31565,0.3221,0.33158,0.29579,0.41705,0.39491,0.43476,0.44192
6.9,0.5419,0.48991,0.47802,0.41619,0.3889,0.43458,0.35715,0.3399,0.3299,0.31909,0.32437,0.31103,0.30607,0.27619,0.41041,0.39759,0.40899,0.46433
7.0,0.50927,0.4638,0.45733,0.42743,0.39058,0.44211,0.34517,0.34353,0.31396,0.31034,0.32169,0.33888,0.31221,0.27026,0.40773,0.39346,0.41126,0.44208
7.1,0.52313,0.49158,0.46785,0.40179,0.4143,0.43321,0.34873,0.34815,0.31955,0.3074,0.31444,0.32409,0.33464,0.26484,0.41507,0.40769,0.42103,0.44862
